1,"General Physician"
2,"Dentist"
3,"Anesthesiologist"
7,"Orthodontist"
7,"Dentist"
8,"Pediatrician"
9,"Dentist"
9,"Orthodontist"
10,"Dermatologist"
12,"Plastic Surgeon"
13,"Dentist"
14,"General Physician"
15,"Family Physician"
16,"Laparoscopic Surgeon"
17,"Orthodontist"
17,"Dental Surgeon"
17,"Cosmetic/Aesthetic Dentist"
19,"Dentist"
20,"Oral And MaxilloFacial Surgeon"
20,"Dental Surgeon"
20,"Endodontist"
20,"Implantologist"
20,"Cosmetic/Aesthetic Dentist"
21,"Dentist"
21,"Proctologist"
21,"Orthodontist"
22,"Aesthetic Medicine"
23,"Family and Community Medicine Specialist"
23,"General Surgeon"
24,"Orthodontist"
24,"Dentist"
25,"Pediatrician"
26,"General Physician"
27,"Dentist"
27,"Orthodontist"
28,"ENT/ Otorhinolaryngologist"
29,"Cosmetic/Aesthetic Dentist"
29,"Orthodontist"
29,"Dentist"
30,"Dentist"
31,"Optometrist"
32,"Obstetrician"
32,"Gynecologist"
33,"Orthodontist"
33,"Dentist"
34,"General Physician"
36,"Vascular Surgeon"
38,"Optometrist"
40,"Obstetrician"
40,"Gynecologist"
41,"Family and Community Medicine Specialist"
42,"Obstetrician"
42,"Gynecologist"
43,"Dentist"
44,"Obstetrician"
44,"Gynecologist"
45,"General Surgeon"
46,"Internal Medicine"
47,"Rheumatologist"
48,"Pediatrician"
49,"Dentist"
49,"Orthodontist"
50,"Orthodontist &amp; Dentofacial Orthopedist"
50,"Restorative Dentist"
50,"Cosmetic/Aesthetic Dentist"
50,"Dentist"
51,"Dentist"
51,"Orthodontist"
52,"Neurologist"
53,"Pediatrician"
54,"Consultant Physician"
55,"Gynecologist"
55,"Obstetrician"
56,"General Physician"
57,"Dentist"
57,"Orthodontist"
57,"Cosmetic/Aesthetic Dentist"
58,"Dentist"
58,"Orthodontist"
59,"Ophthalmologist/ Eye Surgeon"
60,"Optometrist"
61,"Dentist"
62,"Dentist"
63,"Dentist"
64,"Dentist"
64,"Orthodontist"
65,"Pediatrician"
66,"Chiropractor"
69,"Radiologist"
70,"Neuropsychologist"
71,"Optometrist"
72,"Urologist"
73,"Gynecologist"
73,"Obstetrician"
74,"Pediatrician"
75,"Sports Medicine Physician"
75,"Orthopedic Surgeon"
76,"Rehab &amp; Physical Medicine Specialist"
77,"Dentist"
79,"Pediatrician"
80,"Dentist"
80,"Endodontist"
80,"Orthodontist"
81,"Urologist"
82,"Dentist"
82,"Orthodontist"
83,"Internal Medicine"
84,"General Surgeon"
85,"Dentist"
86,"Plastic Surgeon"
86,"ENT/ Otorhinolaryngologist"
86,"Head and Neck Surgeon"
87,"Dentist"
87,"Orthodontist"
87,"Cosmetic/Aesthetic Dentist"
89,"Family and Community Medicine Specialist"
89,"Occupational Medicine Specialist"
90,"General Physician"
91,"Dentist"
91,"Implantologist"
91,"Orthodontist"
95,"General Physician"
98,"Gynecologist"
98,"Obstetrician"
100,"Pediatrician"
101,"Plastic Surgeon"
101,"General Surgeon"
104,"Internal Medicine"
105,"General Physician"
106,"Dentist"
107,"Dentist"
108,"Pediatrician"
109,"Chiropractor"
111,"Plastic Surgeon"
112,"Dentist"
112,"Implantologist"
112,"Periodontist"
112,"Dental Surgeon"
113,"Pediatrician"
115,"Internal Medicine"
116,"Dermatologist"
118,"Dermatologist"
118,"Aesthetic Dermatologist"
119,"Internal Medicine"
119,"Endocrinologist"
120,"Pediatrician"
121,"Dentist"
122,"Gynecologist"
122,"Obstetrician"
123,"Dermatologist"
124,"Aesthetic Dermatologist"
126,"Dermatologist"
127,"Cosmetic/Aesthetic Dentist"
129,"Pediatric Infectious Disease Physician"
130,"Internal Medicine"
131,"Gynecologist"
131,"Obstetrician"
